iter	RMSE
0	19124.27189
1	18219.18361
2	17322.03464
3	16515.86045
4	15825.74109
5	15163.35887
6	14546.03814
7	13961.37675
8	13434.72307
9	12921.1933
10	12445.09864
11	11964.11126
12	11542.64911
13	11127.62962
14	10736.7367
15	10399.86312
16	10047.52899
17	9778.035353
18	9419.582834
19	9202.275143
20	8941.311752
21	8712.258511
22	8449.400337
23	8278.319439
24	8079.303765
25	7881.182206
26	7702.791916
27	7499.836393
28	7318.386347
29	7118.544354
30	6963.575831
31	6790.882862
32	6649.901149
33	6494.827323
34	6380.865331
35	6292.296095
36	6150.046445
37	6009.087989
38	5906.459615
39	5813.104687
40	5710.642682
41	5626.55205
42	5527.360062
43	5423.963559
44	5322.165572
45	5250.90978
46	5170.788596
47	5106.595388
48	5047.536223
49	4962.500765
50	4895.477272
51	4833.579274
52	4771.685253
53	4698.977275
54	4671.281842
55	4603.458318
56	4552.493494
57	4502.986889
58	4461.010806
59	4406.948086
60	4360.570217
61	4311.464631
62	4271.088893
63	4243.502257
64	4212.331286
65	4166.797925
66	4129.579553
67	4082.834834
68	4026.118233
69	3988.652699
70	3948.493317
71	3907.250988
72	3879.304066
73	3834.80102
74	3789.070437
75	3745.683857
76	3729.787151
77	3702.83202
78	3661.297733
79	3617.329223
80	3583.095618
81	3548.925533
82	3535.240127
83	3503.156887
84	3468.852582
85	3442.119678
86	3411.487152
87	3386.370308
88	3360.741073
89	3331.352536
90	3305.997439
91	3278.987002
92	3250.896786
93	3222.653941
94	3182.931049
95	3154.023675
96	3128.711886
97	3097.676777
98	3082.175225
99	3056.408087
100	3035.910054
101	3013.430098
102	2982.455126
103	2975.626505
104	2950.260644
105	2924.856521
106	2904.320334
107	2887.134611
108	2864.814681
109	2843.578705
110	2821.994581
111	2803.615783
112	2779.048205
113	2754.090013
114	2731.096341
115	2717.047207
116	2691.223374
117	2676.071261
118	2659.491303
119	2641.180788
120	2610.144213
121	2595.725112
122	2575.57846
123	2558.309612
124	2539.673837
125	2527.996684
126	2511.744433
127	2491.269407
128	2472.70682
129	2455.666107
130	2438.905332
131	2426.529369
132	2406.005923
133	2397.039918
134	2382.358405
135	2368.076834
136	2352.846435
137	2338.308141
138	2330.569126
139	2312.617052
140	2291.360711
141	2272.31264
142	2263.497901
143	2244.555047
144	2224.422343
145	2209.285274
146	2201.329406
147	2191.456004
148	2178.341949
149	2170.9071
