iter	Passed	Remaining
0	1	297
1	3	280
2	5	267
3	7	269
4	9	264
5	10	256
6	12	252
7	13	248
8	15	244
9	17	240
10	18	236
11	20	233
12	22	235
13	23	232
14	25	230
15	27	228
16	28	225
17	30	223
18	32	221
19	33	220
20	35	217
21	37	216
22	38	214
23	40	211
24	41	208
25	43	205
26	44	203
27	46	201
28	47	198
29	48	195
30	50	192
31	51	189
32	52	186
33	53	184
34	55	181
35	56	178
36	57	175
37	58	173
38	60	171
39	61	168
40	62	167
41	64	164
42	65	162
43	66	160
44	68	158
45	69	156
46	70	154
47	71	152
48	72	150
49	74	148
50	75	146
51	76	144
52	77	142
53	79	140
54	80	139
55	81	137
56	83	135
57	84	133
58	85	131
59	86	129
60	87	128
61	88	126
62	90	124
63	91	122
64	92	121
65	94	119
66	95	118
67	96	116
68	97	114
69	99	113
70	100	111
71	101	110
72	102	108
73	104	106
74	105	105
75	106	103
76	107	102
77	109	100
78	110	99
79	111	97
80	112	96
81	114	94
82	115	93
83	116	91
84	117	90
85	119	88
86	120	87
87	121	85
88	122	84
89	124	82
90	125	81
91	127	80
92	128	78
93	130	77
94	132	76
95	133	75
96	135	74
97	137	72
98	138	71
99	140	70
100	141	68
101	142	67
102	144	65
103	145	64
104	146	62
105	147	61
106	149	59
107	150	58
108	151	56
109	152	55
110	153	54
111	155	52
112	156	51
113	158	49
114	159	48
115	160	47
116	161	45
117	163	44
118	164	42
119	165	41
120	166	39
121	167	38
122	169	37
123	170	35
124	171	34
125	173	32
126	174	31
127	175	30
128	176	28
129	178	27
130	179	26
131	180	24
132	181	23
133	182	21
134	184	20
135	185	19
136	186	17
137	188	16
138	189	14
139	190	13
140	191	12
141	193	10
142	194	9
143	195	8
144	196	6
145	197	5
146	199	4
147	200	2
148	201	1
149	203	0
