origin_date,forecast_period,dimension_type,dimension_value,metric,actual,p10,p50,p90,absolute_error,ape,smape,covered_by_interval
2024-04-30,30_days,Overall,Total Portfolio,Revenue,100120.8994,121134.05,144401.17,167668.3,44280.2706,44.2268,36.2178,False
2024-04-30,30_days,Overall,Total Portfolio,ROAS,3.1101,3.89,4.64,5.38,1.5299,49.1915,39.4809,False
2024-04-30,60_days,Overall,Total Portfolio,Revenue,200877.5972,249239.05,288369.54,327500.02,87491.9428,43.5549,35.7659,False
2024-04-30,60_days,Overall,Total Portfolio,ROAS,3.5807,4.0,4.63,5.26,1.0493,29.3034,25.5586,False
2024-04-30,90_days,Overall,Total Portfolio,Revenue,331830.2105,378754.88,431792.46,484830.03,99962.2495,30.1245,26.1811,False
2024-04-30,90_days,Overall,Total Portfolio,ROAS,3.4186,4.05,4.62,5.19,1.2014,35.1419,29.8899,False
2024-04-30,30_days,Channel,Google Ads,Revenue,99568.2994,89744.62,135165.19,180585.77,35596.8906,35.7512,30.3296,True
2024-04-30,30_days,Channel,Google Ads,ROAS,3.1361,2.9,4.36,5.83,1.2239,39.0242,32.6529,True
2024-04-30,60_days,Channel,Google Ads,Revenue,200324.9972,193916.73,270304.72,346692.71,69979.7228,34.9331,29.7388,True
2024-04-30,60_days,Channel,Google Ads,ROAS,3.8116,3.13,4.36,5.6,0.5484,14.3869,13.4214,True
2024-04-30,90_days,Channel,Google Ads,Revenue,331277.6105,301885.38,405421.9,508958.41,74144.2895,22.3813,20.1288,True
2024-04-30,90_days,Channel,Google Ads,ROAS,3.7103,3.25,4.36,5.48,0.6497,17.5117,16.1019,True
2024-04-30,30_days,CampaignType,DISPLAY,Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2024-04-30,30_days,CampaignType,DISPLAY,ROAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2024-04-30,60_days,CampaignType,DISPLAY,Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2024-04-30,60_days,CampaignType,DISPLAY,ROAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2024-04-30,90_days,CampaignType,DISPLAY,Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
