origin_date,forecast_period,metric,actual,predicted,absolute_error,ape
2024-04-30,30_days,Revenue,100120.8994,126315.8454,26194.946,26.1633
2024-04-30,30_days,ROAS,3.1101,4.4245,1.3144,42.2635
2024-04-30,60_days,Revenue,200877.5972,252631.6907,51754.0936,25.764
2024-04-30,60_days,ROAS,3.5807,4.4245,0.8438,23.5653
2024-04-30,90_days,Revenue,331830.2105,378947.5361,47117.3256,14.1992
2024-04-30,90_days,ROAS,3.4186,4.4245,1.0059,29.4242
2025-04-03,30_days,Revenue,403206.6997,297948.7444,105257.9553,26.1052
2025-04-03,30_days,ROAS,10.0775,10.3072,0.2297,2.2797
2025-04-03,60_days,Revenue,810889.2203,595897.4888,214991.7315,26.5131
2025-04-03,60_days,ROAS,10.414,10.3072,0.1068,1.0253
2025-04-03,90_days,Revenue,935172.2032,893846.2332,41325.97,4.4191
2025-04-03,90_days,ROAS,8.8965,10.3072,1.4107,15.8564
2026-03-08,30_days,Revenue,350133.2681,352273.8228,2140.5547,0.6114
2026-03-08,30_days,ROAS,7.2276,5.2773,1.9503,26.9839
2026-03-08,60_days,Revenue,726472.625,704547.6456,21924.9794,3.018
2026-03-08,60_days,ROAS,6.2292,5.2773,0.9519,15.2808
2026-03-08,90_days,Revenue,1069273.7927,1056821.4684,12452.3243,1.1646
2026-03-08,90_days,ROAS,5.7835,5.2773,0.5062,8.7519
